Image_ID,class,confidence,ymin,xmin,ymax,xmax,augmented
id_u3q6jdck4j.jpg,Trophozoite,1.0,2752.0,1241.0,2777.0,1270.0,
id_a6cl90trri.jpg,Trophozoite,1.0,2598.0,1566.0,2640.0,1604.0,
id_qvc2le9sm8.jpg,Trophozoite,1.0,1317.0,2788.0,1448.0,2914.0,
id_w8xnbd5rvm.jpg,Trophozoite,1.0,1029.0,1744.0,1145.0,1823.0,
id_6dop09rk02.jpg,NEG,1.0,120.0,0.0,120.0,0.0,
id_i7r9hkhxvx.jpg,WBC,1.0,2886.0,906.0,2943.0,963.0,
id_fzogq9kijh.jpg,WBC,1.0,2681.0,280.0,2751.0,373.0,
id_i8qcpi8ey9.jpg,Trophozoite,1.0,2541.0,1141.0,2572.0,1170.0,
id_y0me081u0v.jpg,NEG,1.0,120.0,0.0,120.0,0.0,
id_2phbgf1x5m.jpg,Trophozoite,1.0,2727.0,1169.0,2765.0,1205.0,
id_8l8zssuabc.jpg,Trophozoite,1.0,1911.0,1992.0,2001.0,2082.0,
id_i4d0ulpq39.jpg,WBC,1.0,2839.0,838.0,2903.0,906.0,
id_pwiv4czvne.jpg,Trophozoite,1.0,495.0,3002.0,617.0,3087.0,
id_8y0uii4k60.jpg,Trophozoite,1.0,2054.0,2315.0,2181.0,2410.0,
id_ylrsd2a6k4.jpg,Trophozoite,1.0,2065.0,923.0,2099.0,957.0,
id_n0dqkovtp3.jpg,Trophozoite,1.0,2269.0,637.0,2303.0,673.0,
id_5bbz3srksa.jpg,Trophozoite,1.0,2713.0,1455.0,2753.0,1495.0,
id_e3tep47339.jpg,Trophozoite,1.0,2719.0,794.0,2751.0,822.0,
id_ytq3slqkjm.jpg,Trophozoite,1.0,2148.0,768.0,2188.0,800.0,
id_nzkpf8tr8o.jpg,WBC,1.0,2519.0,1091.0,2589.0,1169.0,
id_a1ladv8a2p.jpg,Trophozoite,1.0,2494.0,656.0,2528.0,694.0,
id_7chz2q4dsm.jpg,Trophozoite,1.0,2577.0,755.0,2605.0,797.0,
id_fvpi1edl84.jpg,Trophozoite,1.0,1812.0,2390.0,1924.0,2482.0,
id_9cikz22vmm.jpg,WBC,1.0,1341.0,1173.0,1537.0,1374.0,
id_6bs4zqzvfr.jpg,Trophozoite,1.0,2409.0,1082.0,2441.0,1116.0,
id_331urb6uko.jpg,Trophozoite,1.0,2685.0,219.0,2725.0,261.0,
id_7fd9tfijwa.jpg,Trophozoite,1.0,2642.0,1088.0,2676.0,1122.0,
id_e20xnaq5qn.jpg,Trophozoite,1.0,2889.0,1358.0,2944.0,1409.0,
id_db7urn6j1g.jpg,Trophozoite,1.0,2791.0,980.0,2827.0,1022.0,
